scraped_at,event_id,event_name,event_date,venue,section_key,section_name,ticket_class,ticket_class_name,min_price,listing_count,ticket_count,row
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149110,,518,Plaza,2035.48,2,4,27
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149123,,518,Plaza,2036.74,4,14,33
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149122,,518,Plaza,2044.38,3,6,33
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149100,,518,Plaza,2048.02,4,16,34
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149113,,518,Plaza,2058.21,1,4,22
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149114,,518,Plaza,2105.19,4,10,24
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149101,,518,Plaza,2133.3,4,12,34
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),518_149121,,518,Plaza,2224.31,4,8,34
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),2724_149147,,2724,Super Boxes,2459.34,3,8,7
2026-06-04T22:00:35Z,160287605,"New York Knicks at San Antonio Spurs: NBA Finals   (Home Game 2, Series Game 2)",2026-06-05T19:30:00,Frost Bank Center (Formerly AT&T Center),2724_149149,,2724,Super Boxes,2495.7,3,8,6
